Date,vfinx,hsi,n225,pesi,ks11,jkse,msci,vgk,vwo,iemg,eem,emb,ibcx,spsk,asia,hydb,tlt
2007-06-01,108.02910614013700,20602.869140625,17958.880859375,15.100000381469700,1716.239990234380,,,44.753849029541000,30.997596740722700,,32.80223083496090,,,,,,56.44252014160160
2007-07-02,106.95490264892600,,18146.30078125,15.5,1771.3499755859400,2167.755859375,,44.858455657959000,32.348018646240200,,33.853370666503900,,,,,,56.46075439453130
2007-08-01,103.30078887939500,22455.359375,16870.98046875,14.75,1856.449951171880,2256.2412109375,,43.411590576171900,32.28553771972660,,33.28621292114260,,,,,,57.904048919677700
2007-08-31,104.08812713623000,,,13.100000381469700,,,,43.20822525024410,32.80280303955080,,33.76514434814450,,,,,,59.06706619262700
2007-10-01,109.40241241455100,,16845.9609375,14.149999618530300,1962.6700439453100,2399.384765625,,45.89275360107420,37.41304016113280,,38.85700988769530,,,,,,59.540138244628900
2007-11-01,106.80712127685500,31492.880859375,16870.400390625,14.899999618530300,2063.139892578130,2704.57666015625,,46.47382354736330,39.28074264526370,,40.44254684448240,,,,,,61.060245513916000
2007-11-30,105.0794906616210,,,13.0,,,25.579700469970700,45.80559539794920,37.24292755126950,,38.9200325012207,,,,,,63.502620697021500
2008-01-02,102.86332702636700,27560.51953125,,11.850000381469700,1853.449951171880,2731.426025390630,31.315473556518600,44.68239212036130,36.784664154052700,,37.739383697509800,53.28541564941410,114.39767456054700,,,,64.0128173828125
2008-02-01,99.2806396484375,24123.580078125,13497.16015625,10.75,1634.530029296880,2646.742431640630,32.009315490722700,41.39101028442380,34.375980377197300,,35.645877838134800,53.7191276550293,115.59242248535200,,,,64.8138198852539
2008-02-29,94.88720703125,,,9.300000190734860,,,27.503955841064500,40.707557678222700,34.528072357177700,,35.645877838134800,53.497562408447300,115.56256103515600,,,,64.13323211669920
2008-04-01,97.8546142578125,23137.4609375,12656.419921875,8.300000190734860,1702.25,2393.177978515630,28.57710075378420,42.368228912353500,34.23802947998050,,35.625457763671900,53.48828887939450,114.79592895507800,,,,64.43887329101560
