Date,VFINX,VBMFX,VIX.chg,VIX.ret,SPX_SMA,VFINX_SKW,VBMFX_SKW,VIX_SKW
2008/7/31,-0.0083171,5.10E-06,2.27,0.094112766,-207.3395049,-0.863042821,0.188191531,2.346788197
2008/8/31,0.014463,0.0069971,2.16,0.075683249,-174.9213149,-0.89040963,0.1487655,2.363141957
2008/9/30,-0.0890607,-0.0110351,11.979999,0.510004215,-343.6273141,-0.925106364,0.112803161,1.978136996
2008/10/31,-0.167924,-0.0253417,16.540001,0.354023986,-627.2881132,-1.591633972,-0.667830741,1.72898289
2008/11/30,-0.0717484,0.0364082,9.119999,0.113914554,-702.8949415,-1.454093219,0.115645845,1.97425869
2008/12/31,0.0106711,0.033227,13.230003,0.163616162,-654.7404679,-1.46209422,0.247698061,1.96619062
2009/1/31,-0.0841256,-0.0069654,10.540001,0.153846164,-737.6827057,-1.246563522,0.35645082,1.957394188
2009/2/28,-0.1065703,-0.0042309,5.73,0.101147393,-828.9554719,-1.049537374,0.484933444,1.996045936
2009/3/31,0.0876004,0.0148047,6.300004,0.119726418,-675.5077297,-0.792175445,0.43706692,2.011832672
2009/4/30,0.0955882,0.0035683,5.240001,0.099525181,-509.8704561,-0.571941693,0.465499804,2.060849324
2009/5/31,0.056177,0.0084914,2.319999,0.054872258,-395.6404638,-0.555942064,0.48597598,2.022801256
2009/6/30,0.0021996,0.0053905,3.18,0.090084988,-356.2718565,-0.542342462,0.43379611,2.017647919
2009/7/31,0.075779,0.0142762,1.85,0.056609547,-207.7467425,-0.494201655,0.326861357,1.987582512
2009/8/31,0.0359886,0.0101441,3.619999,0.115654924,-115.302695,-0.556880587,0.358496111,1.987202917
2009/9/30,0.0371679,0.0118786,3.14,0.11258516,-26.16817991,-0.57428956,0.272694558,2.14624625
2009/10/31,-0.0186762,0.0041179,5.930001,0.203430566,-30.83266927,-0.513583568,0.28030386,2.036640435
2009/11/30,0.0598139,0.0136019,4.26,0.138807425,87.77824291,-0.500225187,0.174175536,2.050467973
2009/12/31,0.019455,-0.0167634,1.969999,0.066151744,134.4154607,-0.550129805,0.075576883,2.054146394
2010/1/31,-0.0360378,0.0157077,5.039999,0.212747944,82.72548009,-0.541559514,0.034151163,1.996279862
2010/2/28,0.0309185,0.0019652,4.48,0.164042481,154.1345608,-0.553847727,0.113124274,2.072176711
2010/3/31,0.0601355,-0.0007989,1.199999,0.0452659,277.1636126,-0.543392057,0.167917399,2.025832967
2010/4/30,0.0157802,0.0106044,5.34,0.277258567,310.6618599,-0.54338329,0.158628811,1.818890514
2010/5/31,-0.0800512,0.0087235,10.470001,0.45900927,162.8831561,-0.504398038,0.204598321,1.678052861
2010/6/30,-0.0523946,0.0161014,6.020001,0.131469772,83.05588559,-0.435680308,0.114812177,1.672810514
2010/7/31,0.069961,0.0093619,1.709999,0.046759612,204.4095622,-0.540712916,0.152761098,1.672478992
2010/8/31,-0.0452979,0.0148094,3.019998,0.091904988,112.2986785,-0.521756971,0.066241415,1.671890144
2010/9/30,0.089189,-0.0001179,2.49,0.090677352,247.2772216,-0.5202075,0.086357571,1.685628994
2010/10/31,0.0378831,0.0036085,1.539999,0.064462079,295.88951,-0.517265631,0.047728338,1.703825419
2010/11/30,0,-0.0056767,2.66,0.113047169,266.5336029,-0.500195805,0.048719924,1.717125014
2010/12/31,0.0667134,-0.0114743,1.200001,0.050977101,356.9177635,-0.637290575,0.054928592,1.845059254
2011/1/31,0.0235711,0.0008258,3.890001,0.182116143,367.41763,-0.680768477,0.049879242,1.786597433
2011/2/28,0.0341628,0.0016336,4.369999,0.218063811,404.2123193,-0.700458934,0.088765213,1.690764855
2011/3/31,0.0002562,-5.20E-05,5.08,0.229552654,371.3081218,-0.811294617,0.08008531,1.546539981
